"ID","任务类型","任务栏任务名称","任务名称","任务目的","任务描述","追踪显示任务名","追踪描述"
"2010001","1","巨魔之都","巨魔之都1",,,"巨魔之都1","<T t=""不知道尖牙溶洞发生了什么事情，前去探查一下."" c=""ff12c4ff""></T><T t=""击败""></T><T t=""$NPCName$"" m=""$mapid$"" x=""$xPos$"" y=""$yPos$""c=""ff00ff00""></T>"
"2010002","1","巨魔之都","巨魔之都2",,,"巨魔之都2","<T t=""看来纳拉雷克斯做了些什么，才引起尖牙溶洞的巨大变化."" c=""ff12c4ff""></T><T t=""击败""></T><T t=""$NPCName$"" m=""$mapid$"" x=""$xPos$"" y=""$yPos$""c=""ff00ff00""></T>"
"2010003","1","巨魔之都","巨魔之都3",,,"巨魔之都3","<T t=""翡翠梦境的腐蚀之力，让这个地方发生了巨大的变故."" c=""ff12c4ff""></T><T t=""击败""></T><T t=""$NPCName$"" m=""$mapid$"" x=""$xPos$"" y=""$yPos$""c=""ff00ff00""></T>"
"2010004","1","巨魔之都","巨魔之都4",,,"巨魔之都4","<T t=""无论如何不能让这些怪物冲出洞穴."" c=""ff12c4ff""></T><T t=""击败""></T><T t=""$NPCName$"" m=""$mapid$"" x=""$xPos$"" y=""$yPos$""c=""ff00ff00""></T>"
"2010005","1","巨魔之都","巨魔之都5",,,"巨魔之都5","<T t=""看来要尽快把这里发生的事情，通知给职业联盟知道."" c=""ff12c4ff""></T><T t=""击败""></T><T t=""$NPCName$"" m=""$mapid$"" x=""$xPos$"" y=""$yPos$""c=""ff00ff00""></T>"
"2010006","1","诅咒之塔","诅咒之塔1",,,"诅咒之塔1","<T t=""击败""></T><T t=""$NPCName$"" m=""$mapid$"" npcid=""$npcid$"" x=""$xPos$"" y=""$yPos$""c=""ff00ff00""></T><I s=""MainControl"" i=""Clock"" id=""809004""></I>"
"2010007","1","诅咒之塔","诅咒之塔2",,,"诅咒之塔2","<T t=""击败""></T><T t=""$NPCName$"" m=""$mapid$"" npcid=""$npcid$"" x=""$xPos$"" y=""$yPos$""c=""ff00ff00""></T><I s=""MainControl"" i=""Clock"" id=""809004""></I>"
"2010008","1","诅咒之塔","诅咒之塔3",,,"诅咒之塔3","<T t=""击败""></T><T t=""$NPCName$"" m=""$mapid$"" npcid=""$npcid$"" x=""$xPos$"" y=""$yPos$""c=""ff00ff00""></T><I s=""MainControl"" i=""Clock"" id=""809004""></I>"
"2010009","1","诅咒之塔","诅咒之塔4",,,"诅咒之塔4","<T t=""击败""></T><T t=""$NPCName$"" m=""$mapid$"" npcid=""$npcid$"" x=""$xPos$"" y=""$yPos$""c=""ff00ff00""></T><I s=""MainControl"" i=""Clock"" id=""809004""></I>"
"2010010","1","诅咒之塔","诅咒之塔5",,,"诅咒之塔5","<T t=""击败""></T><T t=""$NPCName$"" m=""$mapid$"" npcid=""$npcid$"" x=""$xPos$"" y=""$yPos$""c=""ff00ff00""></T><I s=""MainControl"" i=""Clock"" id=""809004""></I>"
"2010011","1","巨魔之都(精英)","巨魔之都1(精英)",,,"巨魔之都1(精英)","<T t=""不知道尖牙溶洞发生了什么事情，前去探查一下."" c=""ff12c4ff""></T><T t=""击败""></T><T t=""$NPCName$"" m=""$mapid$"" x=""$xPos$"" y=""$yPos$""c=""ff00ff00""></T>"
"2010012","1","巨魔之都(精英)","巨魔之都2(精英)",,,"巨魔之都2(精英)","<T t=""看来纳拉雷克斯做了些什么，才引起尖牙溶洞的巨大变化."" c=""ff12c4ff""></T><T t=""击败""></T><T t=""$NPCName$"" m=""$mapid$"" x=""$xPos$"" y=""$yPos$""c=""ff00ff00""></T>"
"2010013","1","巨魔之都(精英)","巨魔之都3(精英)",,,"巨魔之都3(精英)","<T t=""翡翠梦境的腐蚀之力，让这个地方发生了巨大的变故."" c=""ff12c4ff""></T><T t=""击败""></T><T t=""$NPCName$"" m=""$mapid$"" x=""$xPos$"" y=""$yPos$""c=""ff00ff00""></T>"
"2010014","1","巨魔之都(精英)","巨魔之都4(精英)",,,"巨魔之都4(精英)","<T t=""无论如何不能让这些怪物冲出洞穴."" c=""ff12c4ff""></T><T t=""击败""></T><T t=""$NPCName$"" m=""$mapid$"" x=""$xPos$"" y=""$yPos$""c=""ff00ff00""></T>"
"2010015","1","巨魔之都(精英)","巨魔之都5(精英)",,,"巨魔之都5(精英)","<T t=""看来要尽快把这里发生的事情，通知给职业联盟知道."" c=""ff12c4ff""></T><T t=""击败""></T><T t=""$NPCName$"" m=""$mapid$"" x=""$xPos$"" y=""$yPos$""c=""ff00ff00""></T>"
"2010016","1","诅咒之塔(精英)","诅咒之塔1(精英)",,,"诅咒之塔1(精英)","<T t=""击败""></T><T t=""$NPCName$"" m=""$mapid$"" npcid=""$npcid$"" x=""$xPos$"" y=""$yPos$""c=""ff00ff00""></T><I s=""MainControl"" i=""Clock"" id=""809004""></I>"
"2010017","1","诅咒之塔(精英)","诅咒之塔2(精英)",,,"诅咒之塔2(精英)","<T t=""击败""></T><T t=""$NPCName$"" m=""$mapid$"" npcid=""$npcid$"" x=""$xPos$"" y=""$yPos$""c=""ff00ff00""></T><I s=""MainControl"" i=""Clock"" id=""809004""></I>"
"2010018","1","诅咒之塔(精英)","诅咒之塔3(精英)",,,"诅咒之塔3(精英)","<T t=""击败""></T><T t=""$NPCName$"" m=""$mapid$"" npcid=""$npcid$"" x=""$xPos$"" y=""$yPos$""c=""ff00ff00""></T><I s=""MainControl"" i=""Clock"" id=""809004""></I>"
"2010019","1","诅咒之塔(精英)","诅咒之塔4(精英)",,,"诅咒之塔4(精英)","<T t=""击败""></T><T t=""$NPCName$"" m=""$mapid$"" npcid=""$npcid$"" x=""$xPos$"" y=""$yPos$""c=""ff00ff00""></T><I s=""MainControl"" i=""Clock"" id=""809004""></I>"
"2010020","1","诅咒之塔(精英)","诅咒之塔5(精英)",,,"诅咒之塔5(精英)","<T t=""击败""></T><T t=""$NPCName$"" m=""$mapid$"" npcid=""$npcid$"" x=""$xPos$"" y=""$yPos$""c=""ff00ff00""></T><I s=""MainControl"" i=""Clock"" id=""809004""></I>"
