"路径ID","巡游坐骑","绑定特效","巡游速度","场景ID","策划备注","路点总数","寻路点1","寻路点2","寻路点3","寻路点4","寻路点5","寻路点6","寻路点7","寻路点8","寻路点9","寻路点10","寻路点11","寻路点12","寻路点13","寻路点14","寻路点15","寻路点16","寻路点17","寻路点18","寻路点19","寻路点20"
"1","101","geffect/sprite/autowalking","1300","1615","达拉然","6","84,103,0","84,82,0","101,82,0","101,103,0","101,137,0","126,115,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0"
"2","101","geffect/sprite/autowalking","900","1616","奥格瑞姆","4","80,99,0","95,99,0","95,127,0","113,127,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0"
"3","101","geffect/sprite/autowalking","1400","1613","公会","3","23,47,0","30,23,0","50,35,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0"
"4","101","geffect/ui/mt_yinsonglin/mt_yinsonglin","1500","1616","奥格瑞玛","4","66,15,0","82,40,0","119,85,0","135,134,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0"
"5","101","geffect/ui/mt_yinsonglin/mt_yinsonglin","1500","1609","银松林","6","71,94,0","95,57,0","85,37,0","66,33,0","38,44,0","18,18,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0"
"6","101","geffect/ui/mt_ziluolan/mt_ziluolan","1500","1618","雷霆村","3","52,28,0","54,55,0","67,65,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0"
"7","101","geffect/ui/mt_ziluolan/mt_ziluolan","1500","1621","修道院","2","37,46,0","78,59,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0"
"8","101","geffect/ui/mt_ziluolan/mt_ziluolan","1500","1622","永夜林地","2","37,46,0","78,59,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0"
"9","101","geffect/ui/mt_ziluolan/mt_ziluolan","1500","1620","暗矛镇","2","36,33,0","18,6,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0"
"10","101","geffect/ui/mt_ziluolan/mt_ziluolan","1500","1617","太阳岛","6","10,66,0","15,37,0","23,9,0","56,34,0","75,47,0","59,81,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0"
"11","101","geffect/ui/mt_ziluolan/mt_ziluolan","1500","1619","提瑞斯镇","2","37,46,0","78,59,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0"
"12","101","geffect/ui/mt_ziluolan/mt_ziluolan","1500","1691","血蹄村","3","52,28,0","54,55,0","67,65,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0"
"13","101","geffect/ui/mt_ziluolan/mt_ziluolan","1500","1690","军情七处","2","30,44,0","75,80,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0"
"14","101","geffect/ui/mt_ziluolan/mt_ziluolan","1500","1692","幽暗城","3","30,36,0","46,62,0","72,50,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0"
"15","101","geffect/ui/mt_ziluolan/mt_ziluolan","1500","1615","达拉然","14","78,193,0","12,53,0","41,25,0","58,33,0","110,47,0","135,51,0","141,68,0","137,85,0","115,90,0","84,101,0","80,128,0","79,145,0","86,163,0","118,151,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0"
,,,,,,,"","","","","","","","","","","","","","",,,,,,
